#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
5195908|2016-10-18T16:36:41|-23.3265|-179.843|540.0|us,gcmt|NEIC PDE|us|us20007f3s,gcmt20161018163641|Mww|5.9|us|SOUTH OF FIJI ISLANDS
5195705|2016-10-15T08:03:38|-4.2701|150.3605|442.0|us,gcmt|NEIC PDE|us|us20007ebu,gcmt20161015080338|Mww|6.3|us|NEW BRITAIN REGION, P.N.G.
5195516|2016-10-12T04:16:24|-20.9122|-178.569|574.63|us,gcmt|NEIC PDE|us|us20007dc8,gcmt20161012041624|mb|5.5|us|FIJI ISLANDS REGION
5194926|2016-10-01T04:25:43|-23.5705|-179.9448|522.44|us|NEIC PDE|us|us10006uaw|mb|5.3|us|SOUTH OF FIJI ISLANDS
9377279|2016-09-27T16:22:56|17.5577|145.6196|475.63|us|NEIC PDE|us|us10006t7y|mb|5.0|us|MARIANA ISLANDS
9377181|2016-09-27T10:30:21|-22.2495|-179.7008|564.61|us|NEIC PDE|us|us10006t4q|mb|5.1|us|SOUTH OF FIJI ISLANDS
9376254|2016-09-25T01:10:10|-19.6662|-178.0036|580.81|us|NEIC PDE|us|us10006sg0|mb|5.1|us|FIJI ISLANDS REGION
9376207|2016-09-24T21:55:06|-19.8622|-178.2867|586.57|us|NEIC PDE|us|us10006se2|mb|5.1|us|FIJI ISLANDS REGION
9382856|2016-09-24T21:37:01|-19.9265|-178.1748|591.28|us|NEIC PDE|us|us10006v0j|mb|5.0|us|FIJI ISLANDS REGION
9382853|2016-09-24T21:35:02|-19.9124|-178.3448|585.44|us|NEIC PDE|us|us10006v02|mb|5.2|us|FIJI ISLANDS REGION
9376197|2016-09-24T21:28:41|-19.7819|-178.2443|596.4|at,us,gcmt|NEIC PDE|us|at00oe12bt,us10006scr,gcmt20160924212841|Mww|6.9|us|FIJI ISLANDS REGION
