#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName | gcmt_lat | gcmt_lon | gcmt_dep | gcmt_mag | gcmt magtype| M0(dyne_cm)
5191265|2016-08-23T19:39:44|-7.2805|122.4255|532.4|us,gcmt|NEIC PDE||us10006g2n,gcmt20160823193944|mww|6.0|us,gcmt|FLORES SEA|-7.29|122.48|534.5|6.1|Mw|1.55e25
5191146|2016-08-22T09:33:08|29.8965|139.1312|404.41|us,gcmt|NEIC PDE||gcmt20160822093308,us10006fq7|mb|5.6|us,gcmt|SOUTHEAST OF HONSHU, JAPAN|29.95|138.89|408.8|5.6|Mw|3.01e24
5189735|2016-08-04T16:24:33|24.9447|142.0141|510.0|us,gcmt|NEIC PDE||gcmt20160804162434,us10006a2k|mww|6.3|us,gcmt|VOLCANO ISLANDS, JAPAN REGION|24.98|141.91|522.7|6.3|Mw|3.18e25
5188655|2016-07-23T01:00:20|47.6981|146.9212|408.0|us,gcmt|NEIC PDE||gcmt20160723010021,us20006h0d|mww|5.8|us,gcmt|NORTHWEST OF KURIL ISLANDS|47.68|146.91|423.2|5.8|Mw|7.11e24
5188260|2016-07-18T21:09:26|-19.1463|-177.4348|568.79|us|NEIC PDE||us20006fn0|mb|5.0|us|FIJI ISLANDS REGION|-19.22|-177.23|589.1|5.5|Mw|1.94e24
5184614|2016-06-05T16:25:33|-4.587|125.6264|429.62|us,gcmt|NEIC PDE|us|us2000626m,gcmt20160605162533|Mww|6.3|us|BANDA SEA|-4.51|125.56|449.0|6.3|Mw|3.55e25
5183964|2016-05-28T05:38:50|-21.9724|-178.2038|405.69|pt,us,gcmt,at|NEIC PDE|us|us20005yqp,gcmt20160528053851,pt16149050,at00o7vh0q|Mww|6.9|us|FIJI ISLANDS REGION|-22.13|-178.17|417.5|6.9|Mw|2.97e26
5183873|2016-05-27T04:08:43|-20.8101|-178.6481|567.48|us,gcmt|NEIC PDE|us|gcmt20160527040844,us20005yd7|mww|6.4|us|FIJI ISLANDS REGION|-20.77|-178.61|581.4|6.4|Mw|5.87e25
5182681|2016-05-13T12:57:27|-25.4822|179.3397|506.36|us|NEIC PDE|us|us10005h3z|Mww|5.6|us|SOUTH OF FIJI ISLANDS|-25.58|179.23|535.8|5.7|Mw|3.99e24
5180966|2016-04-25T08:02:45|-17.9829|-178.4312|591.52|us|NEIC PDE|us|us20005liq|mb|5.3|us|FIJI ISLANDS REGION|-17.91|-178.33|602.5|5.7|Mw|4.61e24
5176237|2016-03-04T04:25:15|-20.9941|-178.952|608.42|us|NEIC PDE||us10004ulj|mb|5.3|us|FIJI ISLANDS REGION|-20.88|-179.03|628.6|5.5|Mw|1.92e24
5174891|2016-02-20T15:51:22|-21.9139|-179.359|579.39|us|NEIC PDE|us|us10004rdp|mb|5.8|us|FIJI ISLANDS REGION|-22.01|-179.40|593.0|5.8|Mw|6.38e24
5174288|2016-02-14T18:09:26|30.3018|138.8501|412.8|us|NEIC PDE|us|us2000505t|mb|5.7|us|SOUTHEAST OF HONSHU, JAPAN|30.43|138.67|421.5|5.8|Mw|5.34e24
5172374|2016-01-26T03:46:36|-20.5656|-177.5532|508.35|us|NEIC PDE|us|us20004ule|mb|5.2|us|FIJI ISLANDS REGION|-20.46|-177.49|526.9|5.7|Mw|3.84e24
5171122|2016-01-14T03:25:28|-19.7597|-63.3288|582.56|us,gcmt|NEIC PDE|us|gcmt20160114032528,us10004ebw|mww|6.1|us|SOUTHERN BOLIVIA|-19.77|-63.11|590.7|6.1|Mw|2.03e25
5170908|2016-01-11T22:19:56|-23.0754|179.1198|552.55|us|NEIC PDE|us|us10004dmb|mb|5.3|us|SOUTH OF FIJI ISLANDS|-23.18|179.11|576.0|5.6|Mw|3.27e24
5169900|2016-01-02T04:22:19|44.8069|129.9406|585.47|us|NEIC PDE|us|us10004atb|mww|5.8|us|NORTHEASTERN CHINA|44.83|129.75|587.4|5.8|Mw|6.66e24
5168671|2015-12-18T22:14:09|-17.0719|-178.9574|529.96|us|NEIC PDE|us|us1000488k|mb|5.1|us|FIJI ISLANDS REGION|-16.95|-178.82|557.9|5.5|Mw|2e24
