Data Set S1
event_ID                  yr   mon  day    hr    min   sec        m0      Mw  mb     lat     lon     depth   fc       stress_drop   rms         nstat
Event_1992_140_14_42_50  1992   5    19    14    42   50.70   6.5600e+24  5.8 5.5   -9.451  159.362  36.9   0.3150    4.6650e+00    8.6310e-02    5
Event_1992_141_12_20_35  1992   5    20    12    20   35.00   1.4300e+25  6.0 6.0   33.318   71.272  16.0   0.3285    1.1530e+01    8.7940e-02    7
Event_1992_142_20_40_13  1992   5    21    20    40   13.10   8.4600e+24  5.9 5.5   31.047  141.845  31.0   0.1740    1.0140e+00    7.9620e-02    3
Event_1992_146_16_55_05  1992   5    25    16    55    5.30   2.0100e+26  6.8 6.3   19.618  -77.883  23.1   0.0795    2.2980e+00    9.1190e-02   18
Event_1992_148_05_13_41  1992   5    27     5    13   41.00   3.9000e+26  7.0 6.3  -11.076  165.289  19.0   0.0910    6.6870e+00    9.7400e-02   19
Event_1992_149_21_24_50  1992   5    28    21    24   50.80   5.0200e+24  5.7 6.0   47.635  155.467  14.0   0.6965    3.8600e+01    8.2200e-02   12
Event_1992_150_21_52_27  1992   5    29    21    52   27.10   1.2800e+25  6.0 5.6   31.235  141.788  31.1   0.1880    1.9350e+00    9.1130e-02    9
Event_1992_151_12_42_04  1992   5    30    12    42    4.40   1.2750e+25  6.0 5.9   30.719  141.688  20.0   0.2405    4.0360e+00    6.0510e-02   11
Event_1992_152_06_20_07  1992   5    31     6    20    7.50   7.1400e+24  5.8 5.6   30.697  141.688  38.8   0.2330    2.0550e+00    9.0700e-02    5
Event_1992_154_20_03_18  1992   6     2    20     3   18.80   6.8200e+24  5.8 5.6  -16.060   92.732   8.5   0.4640    1.5500e+01    8.2440e-02    4
Event_1992_155_06_10_56  1992   6     3     6    10   56.00   1.9900e+25  6.1 5.8   51.132  178.737  22.0   0.2770    9.6240e+00    1.1490e-01   14
Event_1992_156_04_04_06  1992   6     4     4     4    6.50   1.3000e+25  6.0 5.5   28.013  128.047  24.3   0.2820    6.6330e+00    1.2020e-01    3
Event_1992_158_21_40_41  1992   6     6    21    40   41.60   1.0020e+25  5.9 5.8    1.064  124.000  17.5   0.1475    7.3160e-01    1.0260e-01    8
Event_1992_162_02_13_45  1992   6    10     2    13   45.30   1.0400e+25  5.9 5.7    1.090  124.050  38.5   0.1495    7.9070e-01    1.7580e-01    8
Event_1992_163_02_03_36  1992   6    11     2     3   36.50   5.7800e+24  5.8 5.7    1.089  124.117  17.8   0.2165    1.3350e+00    7.5800e-02    9
Event_1992_173_10_52_42  1992   6    21    10    52   42.30   4.9400e+24  5.7 5.6  -26.572  -70.705  38.6   0.3050    3.1890e+00    1.7680e-01    5
Event_1992_176_12_11_26  1992   6    24    12    11   26.10   7.4700e+24  5.8 5.7   51.532 -173.422  36.5   0.4375    1.4230e+01    1.1090e-01   11
Event_1992_180_11_57_35  1992   6    28    11    57   35.30   1.0580e+27  7.3 6.2   34.190 -116.520  15.0   0.0615    5.6000e+00    1.1990e-01    4
Event_1992_181_10_14_22  1992   6    29    10    14   22.40   4.8300e+24  5.7 5.5   36.767 -116.317  10.6   0.2355    1.4350e+00    8.5940e-02    4
Event_1992_192_09_31_26  1992   7    10     9    31   26.00   7.3900e+25  6.5 6.1   44.737  149.491  20.0   0.1210    2.9790e+00    1.9500e-01   18
Event_1992_198_00_00_40  1992   7    16     0     0   40.80   8.5000e+24  5.9 5.5   39.402  143.301  29.2   0.2295    2.3380e+00    5.4370e-02   11
Event_1992_199_18_46_00  1992   7    17    18    46    0.00   5.8200e+24  5.8 5.5  -10.417  -78.524  47.3   0.3780    7.1520e+00    1.1900e-01    9
Event_1992_200_13_56_53  1992   7    18    13    56   53.60   1.0760e+25  6.0 5.7   39.504  143.033  27.0   0.2075    2.1870e+00    1.0490e-01   11
Event_1992_206_02_09_23  1992   7    24     2     9   23.80   6.0100e+24  5.8 5.7   -7.001  149.957  48.8   0.1870    8.9420e-01    1.0860e-01    6
Event_1992_207_02_53_29  1992   7    25     2    53   29.70   9.4400e+24  5.9 5.9   38.701  143.055  17.0   0.2420    3.0440e+00    6.5440e-02    4
Event_1992_211_04_30_49  1992   7    29     4    30   49.30   2.3200e+25  6.2 5.9   39.595  143.469  16.0   0.1350    1.2990e+00    7.9820e-02   11
Event_1992_212_08_24_49  1992   7    30     8    24   49.20   1.7900e+25  6.1 6.0   29.580   90.207  14.0   0.1595    1.6530e+00    9.5470e-02   11
Event_1992_225_06_36_12  1992   8    12     6    36   12.40   6.1900e+24  5.8 5.5   32.615  141.772  20.9   0.3140    4.3600e+00    1.0540e-01    8
Event_1992_232_00_57_43  1992   8    19     0    57   43.60   1.6600e+25  6.1 6.1   50.496 -174.922  10.0   0.2555    6.3000e+00    1.1250e-01   25
Event_1992_232_02_04_36  1992   8    19     2     4   36.50   7.6800e+26  7.2 6.8   42.111   73.588  27.0   0.0540    2.7520e+00    8.4970e-02   27
Event_1992_238_02_07_13  1992   8    25     2     7   13.90   6.6500e+24  5.8 5.4  -10.013  160.290  22.5   0.1945    1.1130e+00    1.3260e-01    3
Event_1992_241_18_18_45  1992   8    28    18    18   45.30   2.0000e+26  6.8 6.4   -1.037  -13.573  16.0   0.0840    2.6970e+00    1.1040e-01   11
Event_1992_246_18_28_56  1992   9     2    18    28   56.40   1.3200e+25  6.0 5.2   11.269  -86.737  37.1   0.1255    5.9370e-01    1.9380e-01   17
Event_1992_249_21_48_11  1992   9     5    21    48   11.90   1.1200e+25  6.0 5.1   12.080  -87.322  21.6   0.1130    3.6770e-01    1.0910e-01   12
Event_1992_253_13_08_54  1992   9     9    13     8   54.70   1.5900e+25  6.1 5.7   76.202    7.251  13.8   0.2085    3.2790e+00    1.2790e-01   22
Event_1992_254_10_43_20  1992   9    10    10    43   20.40   1.0230e+25  5.9 5.5  -22.570 -174.795  16.6   0.2465    3.4860e+00    1.4400e-01    5
Event_1992_255_03_57_26  1992   9    11     3    57   26.20   3.6700e+25  6.3 6.7   -6.151   26.660  11.0   0.1930    6.0030e+00    7.4660e-02   12
Event_1992_270_22_15_57  1992   9    26    22    15   57.20   8.2400e+25  6.5 5.9    1.301  129.088  25.2   0.1180    3.0810e+00    1.1550e-01   12
Event_1992_271_17_48_12  1992   9    27    17    48   12.90   6.3300e+24  5.8 5.7   53.734 -157.457  20.1   0.2240    1.6190e+00    9.0940e-02   16
Event_1992_272_14_06_02  1992   9    28    14     6    2.80   1.6700e+25  6.1 5.9   24.126  122.616  30.0   0.1170    6.0860e-01    6.2830e-02   10
Event_1992_274_03_28_00  1992   9    30     3    28    0.10   1.1710e+25  6.0 5.9   51.403 -178.630  26.0   0.2250    3.0350e+00    1.0820e-01    9
Event_1992_274_05_34_00  1992   9    30     5    34    0.30   9.4700e+25  6.6 6.2   51.272 -178.064  21.2   0.0770    9.8370e-01    1.2880e-01   22
Event_1992_274_09_42_53  1992   9    30     9    42   53.80   1.5100e+25  6.1 5.9   51.157 -178.149  14.3   0.1600    1.4070e+00    1.2910e-01   12
Event_1992_286_13_09_56  1992  10    12    13     9   56.30   5.5500e+24  5.8 5.9   29.714   31.144  22.0   0.2455    1.8690e+00    1.1750e-01    4
Event_1992_289_22_37_07  1992  10    15    22    37    7.10   2.0000e+26  6.8 6.1  -14.485  166.795  33.9   0.1110    6.2240e+00    1.4360e-01   15
Event_1992_292_15_11_59  1992  10    18    15    11   59.30   5.7100e+26  7.1 6.6    7.093  -76.764   3.5   0.0455    1.2240e+00    1.2670e-01   13
Event_1992_293_12_03_30  1992  10    19    12     3   30.10   1.9400e+25  6.1 5.7  -19.432  169.678  41.7   0.1550    1.6440e+00    1.8310e-01    4
Event_1992_294_04_40_02  1992  10    20     4    40    2.80   1.1210e+25  6.0 5.5   55.476  166.310   8.4   0.1400    6.9990e-01    1.7180e-01    4
Event_1992_295_12_11_15  1992  10    21    12    11   15.30   2.0100e+25  6.1 5.8   -6.855  144.196  19.0   0.1540    1.6700e+00    1.4310e-01    8
Event_1992_296_09_04_24  1992  10    22     9     4   24.90   7.7600e+25  6.5 6.0  -30.046 -177.197  26.0   0.1020    1.8740e+00    1.1210e-01    7
Event_1992_296_23_08_31  1992  10    22    23     8   31.80   4.9900e+25  6.4 5.7  -29.900 -176.971  16.0   0.1410    3.1830e+00    9.2710e-02    6
Event_1992_297_13_04_41  1992  10    23    13     4   41.10   5.0500e+25  6.4 5.6   -5.336  152.646  32.9   0.1285    2.4380e+00    1.1770e-01    5
